receptor,family,region,region_name,fmol_per_mg_protein,areas,fit
"AMPA","Glutamate","Precentral","Precentral Gyrus","293.5","4 6","approx"
"AMPA","Glutamate","Frontal_Sup","Superior Frontal Gyrus","650.5","8 9","approx"
"AMPA","Glutamate","Frontal_Mid","Middle Frontal Gyrus","652","8 9 10L 46","approx"
"AMPA","Glutamate","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","492","44","exact"
"AMPA","Glutamate","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","472","45","exact"
"AMPA","Glutamate","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","689","47","approx"
"AMPA","Glutamate","Supp_Motor_Area","Supplementary Motor Area","301","6","approx"
"AMPA","Glutamate","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","714","10M","approx"
"AMPA","Glutamate","Frontal_Med_Orb","Medial Orbitofrontal Cortex","791","11","approx"
"AMPA","Glutamate","Rectus","Gyrus Rectus","791","11","approx"
"AMPA","Glutamate","Cingulum_Ant","Anterior Cingulate","446","24 32","approx"
"AMPA","Glutamate","Cingulum_Mid","Middle Cingulate","436.5","24 23","approx"
"AMPA","Glutamate","Cingulum_Post","Posterior Cingulate","382","23 31","approx"
"AMPA","Glutamate","ParaHippocampal","Parahippocampal Gyrus","638","36","approx"
"AMPA","Glutamate","Heschl","Heschl's Gyrus","488.5","41 42","approx"
"AMPA","Glutamate","Temporal_Sup","Superior Temporal Gyrus","502","42 22","approx"
"AMPA","Glutamate","Temporal_Pole_Sup","Temporal Pole, Superior","715","38","exact"
"AMPA","Glutamate","Temporal_Mid","Middle Temporal Gyrus","618","21","exact"
"AMPA","Glutamate","Temporal_Pole_Mid","Temporal Pole, Middle","715","38","exact"
"AMPA","Glutamate","Temporal_Inf","Inferior Temporal Gyrus","541","37B 37L 20","approx"
"AMPA","Glutamate","Postcentral","Postcentral Gyrus","462.3","1 2 3a 3b","exact"
"AMPA","Glutamate","Parietal_Sup","Superior Parietal Lobule","366","5L","approx"
"AMPA","Glutamate","Parietal_Inf","Inferior Parietal Lobule","513","PFm","approx"
"AMPA","Glutamate","SupraMarginal","Supramarginal Gyrus","499","PFt PFm","approx"
"AMPA","Glutamate","Angular","Angular Gyrus","399","PGa PGp","exact"
"AMPA","Glutamate","Precuneus","Precuneus","391","31 5M","approx"
"AMPA","Glutamate","Paracentral_Lobule","Paracentral Lobule","382","5M","approx"
"AMPA","Glutamate","Calcarine","Calcarine Cortex","496","V1","exact"
"AMPA","Glutamate","Cuneus","Cuneus","487.7","V2d V3A V3d","approx"
"AMPA","Glutamate","Lingual","Lingual Gyrus","444","V2v V3v V4v","approx"
"AMPA","Glutamate","Occipital_Sup","Superior Occipital Gyrus","506","V3A V3d","approx"
"AMPA","Glutamate","Occipital_Mid","Middle Occipital Gyrus","506","37L","approx"
"AMPA","Glutamate","Occipital_Inf","Inferior Occipital Gyrus","430","V3v V4v","approx"
"AMPA","Glutamate","Fusiform","Fusiform Gyrus","581.3","FG1 FG2 37B 37M","approx"
"NMDA","Glutamate","Precentral","Precentral Gyrus","745","4 6","approx"
"NMDA","Glutamate","Frontal_Sup","Superior Frontal Gyrus","1189","8 9","approx"
"NMDA","Glutamate","Frontal_Mid","Middle Frontal Gyrus","1118.8","8 9 10L 46","approx"
"NMDA","Glutamate","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","964","44","exact"
"NMDA","Glutamate","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","1078","45","exact"
"NMDA","Glutamate","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","1033","47","approx"
"NMDA","Glutamate","Supp_Motor_Area","Supplementary Motor Area","751","6","approx"
"NMDA","Glutamate","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","1079","10M","approx"
"NMDA","Glutamate","Frontal_Med_Orb","Medial Orbitofrontal Cortex","1234","11","approx"
"NMDA","Glutamate","Rectus","Gyrus Rectus","1234","11","approx"
"NMDA","Glutamate","Cingulum_Ant","Anterior Cingulate","1388.5","24 32","approx"
"NMDA","Glutamate","Cingulum_Mid","Middle Cingulate","1307.5","24 23","approx"
"NMDA","Glutamate","Cingulum_Post","Posterior Cingulate","1185.5","23 31","approx"
"NMDA","Glutamate","ParaHippocampal","Parahippocampal Gyrus","1343","36","approx"
"NMDA","Glutamate","Heschl","Heschl's Gyrus","1269","41 42","approx"
"NMDA","Glutamate","Temporal_Sup","Superior Temporal Gyrus","1242","42 22","approx"
"NMDA","Glutamate","Temporal_Pole_Sup","Temporal Pole, Superior","1432","38","exact"
"NMDA","Glutamate","Temporal_Mid","Middle Temporal Gyrus","1314","21","exact"
"NMDA","Glutamate","Temporal_Pole_Mid","Temporal Pole, Middle","1432","38","exact"
"NMDA","Glutamate","Temporal_Inf","Inferior Temporal Gyrus","1273.3","37B 37L 20","approx"
"NMDA","Glutamate","Postcentral","Postcentral Gyrus","1218","1 2 3a 3b","exact"
"NMDA","Glutamate","Parietal_Sup","Superior Parietal Lobule","1095","5L","approx"
"NMDA","Glutamate","Parietal_Inf","Inferior Parietal Lobule","1244","PFm","approx"
"NMDA","Glutamate","SupraMarginal","Supramarginal Gyrus","1203","PFt PFm","approx"
"NMDA","Glutamate","Angular","Angular Gyrus","1200.5","PGa PGp","exact"
"NMDA","Glutamate","Precuneus","Precuneus","1117","31 5M","approx"
"NMDA","Glutamate","Paracentral_Lobule","Paracentral Lobule","1000","5M","approx"
"NMDA","Glutamate","Calcarine","Calcarine Cortex","1735","V1","exact"
"NMDA","Glutamate","Cuneus","Cuneus","1445.7","V2d V3A V3d","approx"
"NMDA","Glutamate","Lingual","Lingual Gyrus","1397.7","V2v V3v V4v","approx"
"NMDA","Glutamate","Occipital_Sup","Superior Occipital Gyrus","1443.5","V3A V3d","approx"
"NMDA","Glutamate","Occipital_Mid","Middle Occipital Gyrus","1312","37L","approx"
"NMDA","Glutamate","Occipital_Inf","Inferior Occipital Gyrus","1372","V3v V4v","approx"
"NMDA","Glutamate","Fusiform","Fusiform Gyrus","1322.8","FG1 FG2 37B 37M","approx"
"Kainate","Glutamate","Precentral","Precentral Gyrus","295.5","4 6","approx"
"Kainate","Glutamate","Frontal_Sup","Superior Frontal Gyrus","718","8 9","approx"
"Kainate","Glutamate","Frontal_Mid","Middle Frontal Gyrus","696.3","8 9 10L 46","approx"
"Kainate","Glutamate","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","498","44","exact"
"Kainate","Glutamate","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","434","45","exact"
"Kainate","Glutamate","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","586","47","approx"
"Kainate","Glutamate","Supp_Motor_Area","Supplementary Motor Area","305","6","approx"
"Kainate","Glutamate","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","699","10M","approx"
"Kainate","Glutamate","Frontal_Med_Orb","Medial Orbitofrontal Cortex","766","11","approx"
"Kainate","Glutamate","Rectus","Gyrus Rectus","766","11","approx"
"Kainate","Glutamate","Cingulum_Ant","Anterior Cingulate","755","24 32","approx"
"Kainate","Glutamate","Cingulum_Mid","Middle Cingulate","685","24 23","approx"
"Kainate","Glutamate","Cingulum_Post","Posterior Cingulate","564","23 31","approx"
"Kainate","Glutamate","ParaHippocampal","Parahippocampal Gyrus","673","36","approx"
"Kainate","Glutamate","Heschl","Heschl's Gyrus","594","41 42","approx"
"Kainate","Glutamate","Temporal_Sup","Superior Temporal Gyrus","645","42 22","approx"
"Kainate","Glutamate","Temporal_Pole_Sup","Temporal Pole, Superior","496","38","exact"
"Kainate","Glutamate","Temporal_Mid","Middle Temporal Gyrus","762","21","exact"
"Kainate","Glutamate","Temporal_Pole_Mid","Temporal Pole, Middle","496","38","exact"
"Kainate","Glutamate","Temporal_Inf","Inferior Temporal Gyrus","591","37B 37L 20","approx"
"Kainate","Glutamate","Postcentral","Postcentral Gyrus","598.3","1 2 3a 3b","exact"
"Kainate","Glutamate","Parietal_Sup","Superior Parietal Lobule","441","5L","approx"
"Kainate","Glutamate","Parietal_Inf","Inferior Parietal Lobule","532","PFm","approx"
"Kainate","Glutamate","SupraMarginal","Supramarginal Gyrus","500.5","PFt PFm","approx"
"Kainate","Glutamate","Angular","Angular Gyrus","536","PGa PGp","exact"
"Kainate","Glutamate","Precuneus","Precuneus","487.5","31 5M","approx"
"Kainate","Glutamate","Paracentral_Lobule","Paracentral Lobule","388","5M","approx"
"Kainate","Glutamate","Calcarine","Calcarine Cortex","329","V1","exact"
"Kainate","Glutamate","Cuneus","Cuneus","354.3","V2d V3A V3d","approx"
"Kainate","Glutamate","Lingual","Lingual Gyrus","373","V2v V3v V4v","approx"
"Kainate","Glutamate","Occipital_Sup","Superior Occipital Gyrus","372.5","V3A V3d","approx"
"Kainate","Glutamate","Occipital_Mid","Middle Occipital Gyrus","588","37L","approx"
"Kainate","Glutamate","Occipital_Inf","Inferior Occipital Gyrus","376.5","V3v V4v","approx"
"Kainate","Glutamate","Fusiform","Fusiform Gyrus","473.3","FG1 FG2 37B 37M","approx"
"GABA-A","GABA","Precentral","Precentral Gyrus","976","4 6","approx"
"GABA-A","GABA","Frontal_Sup","Superior Frontal Gyrus","1260","8 9","approx"
"GABA-A","GABA","Frontal_Mid","Middle Frontal Gyrus","1318.3","8 9 10L 46","approx"
"GABA-A","GABA","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","1302","44","exact"
"GABA-A","GABA","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","1515","45","exact"
"GABA-A","GABA","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","1535","47","approx"
"GABA-A","GABA","Supp_Motor_Area","Supplementary Motor Area","953","6","approx"
"GABA-A","GABA","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","1357","10M","approx"
"GABA-A","GABA","Frontal_Med_Orb","Medial Orbitofrontal Cortex","1452","11","approx"
"GABA-A","GABA","Rectus","Gyrus Rectus","1452","11","approx"
"GABA-A","GABA","Cingulum_Ant","Anterior Cingulate","1180.5","24 32","approx"
"GABA-A","GABA","Cingulum_Mid","Middle Cingulate","1434","24 23","approx"
"GABA-A","GABA","Cingulum_Post","Posterior Cingulate","1729","23 31","approx"
"GABA-A","GABA","ParaHippocampal","Parahippocampal Gyrus","1366","36","approx"
"GABA-A","GABA","Heschl","Heschl's Gyrus","1634","41 42","approx"
"GABA-A","GABA","Temporal_Sup","Superior Temporal Gyrus","1498","42 22","approx"
