area,aal_regions,fit
"1","Postcentral","exact"
"2","Postcentral","exact"
"3a","Postcentral","exact"
"3b","Postcentral","exact"
"4","Precentral","exact"
"6","Precentral Supp_Motor_Area","approx"
"8","Frontal_Sup Frontal_Mid","approx"
"9","Frontal_Sup Frontal_Mid","approx"
"10L","Frontal_Mid","approx"
"10M","Frontal_Sup_Medial","approx"
"11","Frontal_Med_Orb Rectus","approx"
"44","Frontal_Inf_Oper","exact"
"45","Frontal_Inf_Tri","exact"
"46","Frontal_Mid","approx"
"47","Frontal_Inf_Orb","approx"
"24","Cingulum_Ant Cingulum_Mid","approx"
"32","Cingulum_Ant","approx"
"23","Cingulum_Post Cingulum_Mid","approx"
"31","Precuneus Cingulum_Post","approx"
"V1","Calcarine","exact"
"V2d","Cuneus","approx"
"V2v","Lingual","approx"
"V3A","Occipital_Sup Cuneus","approx"
"V3d","Occipital_Sup Cuneus","approx"
"V3v","Lingual Occipital_Inf","approx"
"V4v","Lingual Occipital_Inf","approx"
"FG1","Fusiform","exact"
"FG2","Fusiform","exact"
"37B","Fusiform Temporal_Inf","approx"
"37L","Temporal_Inf Occipital_Mid","approx"
"37M","Fusiform","approx"
"41","Heschl","exact"
"42","Heschl Temporal_Sup","approx"
"20","Temporal_Inf","exact"
"21","Temporal_Mid","exact"
"22","Temporal_Sup","exact"
"36","ParaHippocampal","approx"
"38","Temporal_Pole_Sup Temporal_Pole_Mid","exact"
"5L","Parietal_Sup","approx"
"5M","Paracentral_Lobule Precuneus","approx"
"PGa","Angular","exact"
"PGp","Angular","exact"
"PFt","SupraMarginal","exact"
"PFm","SupraMarginal Parietal_Inf","approx"
