receptor,family,tracer,measure,reference_region,n,age,source,region,region_name,left,right,mean,coverage
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Precentral","Precentral Gyrus","6.0174","6.8468","6.4321","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Sup","Superior Frontal Gyrus","6.7943","7.711","7.2526","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Sup_Orb","Superior Frontal Gyrus, Orbital","16.3581","15.9406","16.1494","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Mid","Middle Frontal Gyrus","8.1163","9.1615","8.6389","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Mid_Orb","Middle Frontal Gyrus, Orbital","13.8583","14.5331","14.1957","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","9.9373","12.1135","11.0254","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","9.6436","9.3105","9.477","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","14.3114","12.9974","13.6544","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Rolandic_Oper","Rolandic Operculum","11.9727","13.465","12.7189","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Supp_Motor_Area","Supplementary Motor Area","8.0996","8.1956","8.1476","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Olfactory","Olfactory Cortex","26.9222","25.7901","26.3562","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","8.8055","9.4596","9.1326","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Frontal_Med_Orb","Medial Orbitofrontal Cortex","17.1238","18.9563","18.0401","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Rectus","Gyrus Rectus","21.7387","22.1874","21.963","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Insula","Insula","17.5651","19.5667","18.5659","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Cingulum_Ant","Anterior Cingulate","18.9229","17.5729","18.2479","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Cingulum_Mid","Middle Cingulate","16.5562","17.6655","17.1109","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Cingulum_Post","Posterior Cingulate","15.1487","12.1391","13.6439","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","Hippocampus","Hippocampus","13.5604","13.0601","13.3103","1"
"D1","Dopamine","[11C]SCH23390","BPND","cerebellum","13","33 (SD 13)","Kaller S et al., Eur J Nucl Med Mol Imaging 2017","ParaHippocampal","Parahippocampal Gyrus","9.539","11.6804","10.6097","1"
